"time","temp","feels","wind","gust","rain","humidity","cloud","pressure","vis","date"
"06:00","5 °c","4 °c","6 km/h from WNW","8 km/h","0.3 mm","93%","100%","976 mb",Poor,"2019-03-07"
"09:00","6 °c","3 °c","16 km/h from NNW","22 km/h","0.7 mm","89%","100%","978 mb",Poor,"2019-03-07"
"12:00","7 °c","4 °c","18 km/h from NNW","25 km/h","1.6 mm","81%","100%","982 mb",Excellent,"2019-03-07"
"15:00","8 °c","3 °c","30 km/h from NNW","37 km/h","1.1 mm","68%","61%","987 mb",Excellent,"2019-03-07"
"18:00","5 °c","1 °c","22 km/h from NNW","33 km/h","0.9 mm","71%","85%","993 mb",Excellent,"2019-03-07"
"21:00","3 °c",-1 °c,"19 km/h from NW","29 km/h","0.0 mm","74%","11%","999 mb",Excellent,"2019-03-07"
"00:00","2 °c",-2 °c,"14 km/h from WNW","23 km/h","0.0 mm","78%","0%","1003 mb",Excellent,"2019-03-08"
"03:00","3 °c","0 °c","11 km/h from WSW","15 km/h","0.0 mm","83%","0%","1005 mb",Excellent,"2019-03-08"
"06:00","2 °c",-2 °c,"12 km/h from SW","20 km/h","0.0 mm","84%","7%","1006 mb",Excellent,"2019-03-08"
"09:00","5 °c","1 °c","16 km/h from SW","21 km/h","0.0 mm","76%","89%","1006 mb",Excellent,"2019-03-08"
"12:00","8 °c","4 °c","24 km/h from SW","29 km/h","0.1 mm","69%","100%","1004 mb",Excellent,"2019-03-08"
"15:00","7 °c","3 °c","27 km/h from SSW","35 km/h","0.3 mm","76%","100%","1000 mb",Poor,"2019-03-08"
"18:00","3 °c","3 °c","32 km/h from SW","46 km/h","1.5 mm","86%","100%","997 mb",Excellent,"2019-03-08"
"21:00",-1 °c,-1 °c,"33 km/h from WSW","49 km/h","0.1 mm","76%","89%","999 mb",Excellent,"2019-03-08"
"00:00","4 °c",-1 °c,"28 km/h from W","43 km/h","0.0 mm","73%","3%","1000 mb",Excellent,"2019-03-09"
"03:00","3 °c",-2 °c,"28 km/h from WSW","46 km/h","0.0 mm","74%","28%","998 mb",Excellent,"2019-03-09"
"06:00","4 °c",-1 °c,"27 km/h from WSW","39 km/h","0.0 mm","75%","100%","999 mb",Excellent,"2019-03-09"
"09:00","5 °c","0 °c","28 km/h from W","37 km/h","0.0 mm","71%","89%","1001 mb",Excellent,"2019-03-09"
"12:00","7 °c","2 °c","33 km/h from W","38 km/h","0.0 mm","57%","64%","1003 mb",Excellent,"2019-03-09"
"15:00","6 °c","1 °c","27 km/h from W","34 km/h","0.7 mm","71%","92%","1004 mb",Excellent,"2019-03-09"
"18:00","4 °c",-1 °c,"24 km/h from W","38 km/h","1.1 mm","70%","78%","1006 mb",Excellent,"2019-03-09"
"21:00","3 °c",-2 °c,"21 km/h from WSW","33 km/h","0.0 mm","73%","14%","1007 mb",Excellent,"2019-03-09"
"00:00","2 °c",-1 °c,"13 km/h from WSW","20 km/h","0.0 mm","77%","80%","1006 mb",Excellent,"2019-03-10"
"03:00","3 °c","0 °c","8 km/h from SSW","12 km/h","0.0 mm","81%","80%","1003 mb",Excellent,"2019-03-10"
"06:00","2 °c","0 °c","8 km/h from S","13 km/h","0.0 mm","81%","91%","1000 mb",Excellent,"2019-03-10"
"09:00","4 °c","1 °c","10 km/h from S","14 km/h","0.3 mm","77%","72%","999 mb",Excellent,"2019-03-10"
"12:00","5 °c","0 °c","31 km/h from W","42 km/h","3.1 mm","77%","100%","999 mb",Good,"2019-03-10"
"15:00","5 °c","0 °c","34 km/h from W","43 km/h","0.2 mm","65%","75%","1001 mb",Excellent,"2019-03-10"
"18:00","3 °c",-3 °c,"33 km/h from W","49 km/h","0.2 mm","68%","70%","1002 mb",Good,"2019-03-10"
"21:00","2 °c",-4 °c,"31 km/h from W","47 km/h","0.0 mm","71%","83%","1004 mb",Excellent,"2019-03-10"
"00:00","2 °c",-4 °c,"32 km/h from W","49 km/h","0.0 mm","70%","54%","1007 mb",Excellent,"2019-03-11"
"03:00","2 °c",-3 °c,"27 km/h from W","42 km/h","0.0 mm","74%","17%","1010 mb",Excellent,"2019-03-11"
"06:00","2 °c",-3 °c,"22 km/h from W","36 km/h","0.0 mm","74%","18%","1014 mb",Excellent,"2019-03-11"
